"Sample","Date","Customer","Product","Grade","Client_Code","Analysis","Name","Unit","Type","A","B"
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",95.841496322,0.5206134797
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",95.841496322,96.362668559
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",95.841496322,96.420638677
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",96.362668559,0.5196048269
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",96.362668559,0.5206134797
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",96.420638677,0.5196048269
7013627,"21/01/2015 01:45:07 PM","I7","SUG_STARCH","SUGAR","INDUSTRIAL PURE, SOFT, TCP, 60/40 & RETAIL PURE SUGAR SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Interim Precision",96.420638677,0.5206134797
5836641,"06/01/2014 03:32:37 PM","RIDDER","MEAT_PROD","HAM","REF #111 SHREDDED HAM HOCK MEAT UBD 07/01/14 BATCH 312","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",2.9181535628,2.871749927
5843875,"08/01/2014 03:40:07 PM","U4","PET_FOOD","WETPETFD","2014000005, 2014000007 & 2014000009 WET PETFOOD","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.559395357,1.4584627246
5851696,"10/01/2014 04:19:39 PM","AUBEER","HONEY","NONE","McDONALD LITTLE RED MALLEE IBC No. 1 PALLECON No. 103","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",0.1905751906,0.206182418
5852008,"10/01/2014 05:21:55 PM","MRWYPD","MISC_FOOD","NONE","SAMPLES 110712 TO 110721","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",0.62745863,0.6343042071
5912404,"31/01/2014 06:34:13 AM","AUSIMC","MISC_FOOD","PACKMEAL","JW TUNA PASTA 190g","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.096212873,1.0889152036
5912488,"31/01/2014 06:43:29 AM","AUSIMC","MISC_FOOD","PACKMEAL","JW TUNA PASTA 190g","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.2047925449,1.246373155
5912511,"31/01/2014 06:44:36 AM","AUSIMC","MISC_FOOD","PACKMEAL","JW TUNA PASTA 190g","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.1070412736,1.1044367162
5912525,"31/01/2014 06:46:00 AM","AUSIMC","MISC_FOOD","PACKMEAL","JW TUNA PASTA 190g","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.0826015143,1.0990626723
5912546,"31/01/2014 06:47:05 AM","AUSIMC","MISC_FOOD","PACKMEAL","JW TUNA PASTA 190g","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.1436740529,1.0331478345
5915438,"31/01/2014 04:13:30 PM","U4","MEAT_BONE","MEATMEAL","2014000726 TO 2014000732 MEALS/POWDERS","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",27.447989354,27.517829767
5933524,"07/02/2014 08:32:26 AM","AUSIMC","SAUCES","NONE","01546 LG SPAGHETTI SAUCE WITH BEEF 680G - WONTHAGGI - CP1","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.6618117568,1.6469584587
5956625,"14/02/2014 11:57:41 AM","AUWARA","HONEY","NONE","500GJ 500G JAR, YELLOW LID","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",0.09507687313,0.05875042368
5966021,"18/02/2014 11:43:12 AM","AUSIMC","SAUCES","NONE","NUTRITION ANALYSIS - 34114 JW HERRING FILLETS IN TOMATO SAUCE 200G - BONO- CP - IFC","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.5446025686,1.549216866
5966038,"18/02/2014 11:45:59 AM","AUSIMC","SAUCES","NONE","NUTRITION ANALYSIS - 34114 JW HERRING FILLETS IN TOMATO SAUCE 200G - BONO- CP - IFC","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.6228707481,1.6072315486
5966071,"18/02/2014 11:49:02 AM","AUSIMC","SAUCES","NONE","NUTRITION ANALYSIS - 34114 JW HERRING FILLETS IN TOMATO SAUCE 200G - BONO- CP - IFC","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.6255156702,1.5723611442
5966206,"18/02/2014 12:13:49 PM","AUSIMC","SAUCES","NONE","NUTRITION ANALYSIS - 34112 JW SMOKED KIPPERS FILLETS IN BRINE 200G - BONO- CP - IFC","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",2.211468415,2.1259286219
5966463,"18/02/2014 12:45:24 PM","AUSIMC","SAUCES","NONE","NUTRITION ANALYSIS - 34112 JW SMOKED KIPPERS FILLETS IN BRINE 200G - BONO- CP - IFC","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",2.2291884361,2.2631578947
5966484,"18/02/2014 12:47:21 PM","AUSIMC","SAUCES","NONE","NUTRITION ANALYSIS - 34112 JW SMOKED KIPPERS FILLETS IN BRINE 200G - BONO- CP - IFC","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",2.0522997312,2.0883993706
5966849,"18/02/2014 12:40:18 PM","TRUMPS","NUTS","CASHEWS","CASHEWS ROASTED SALT & PEPPER","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",3.8807835067,3.8331084285
5986735,"25/02/2014 10:27:12 AM","SAALS","MEAT_PROD","NONE","14020578 TO 14020586 MEAT SAMPLES","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",5.0464686137,4.9927000311
5995025,"27/02/2014 12:27:51 PM","SUBWAY","MEAT_PROD","A004540C","A004540C SLICED HAM","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",3.4790301755,3.4593688408
6008784,"04/03/2014 01:48:56 PM","AUSIMC","FISH","NONE","1. GOLDBAND SNAPPER-RM COMPOSITE OF 4 TRAYS","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.1594467522,1.1172665656
6013805,"05/03/2014 04:58:52 PM","AUSIMC","FISH","NONE","BAKE TO PERFECTION - CP","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.2754654572,1.2676266031
6013812,"05/03/2014 05:02:13 PM","AUSIMC","FISH","NONE","BAKE TO PERFECTION - CP","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.3981803586,1.4175315631
6022142,"08/03/2014 07:11:29 AM","AUSIMC","FISH","NONE","NUTRITION ANALYSIS - CASABLANCA - CP","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.1973370429,1.1806734399
6029839,"12/03/2014 09:22:17 AM","AUSIMC","FISH","NONE","34926, 34925 & 34448 JW TUNA CHUNK","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.4727068993,1.4107490656
6029852,"12/03/2014 09:24:15 AM","AUSIMC","FISH","NONE","34926, 34925 & 34448 JW TUNA CHUNK","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",1.5611868899,1.5298271024
6030109,"12/03/2014 09:57:09 AM","AUSIMC","FISH","NONE","34926, 34925 & 34448 JW TUNA CHUNK","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",2.03857002,1.9706045201
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",7.0319957575,7.5450370894
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",7.4304609998,8.1520337088
6041957,"15/03/2014 11:32:19 AM","AUKADC","CEREAL_PRD","NONE","444533 COLES SAVOURY FLAKES 200g x 2 USE BY 20/8/2014 & 1/7/2014","ASHS040493","Ash @ 550°C","G_P_100G","Repeatability",5.3844252163,5.3247901016
