"SAMPLE_NUMBER","LOGIN_DATE","PRODUCT","PRODUCT_GRADE","X_CLIENT_CODE","ANALYSIS","REPORTED_NAME","UNITS","ENTRY","DATE_STARTED","REPLICATE_COUNT","ORIGINAL_SAMPLE","TEXT_ID","REPORTABLE","DESCRIPTION","STATUS","CUSTOMER","PROJECT"
5964805,"18/02/2014 09:22:12 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7893718823,2014-02-18 20:00:00,1,5964805,"QC-IRM001-5964805",TRUE,"In house standard reference material (batch analysis)","E","",""
5966939,"18/02/2014 02:21:16 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7783501614,2014-02-19 09:00:00,1,5966939,"QC-IRM001-5966939",TRUE,"In house standard reference material (batch analysis)","E","",""
5966941,"18/02/2014 02:23:07 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7643866096,2014-02-19 09:00:00,1,5966941,"QC-IRM001-5966941",TRUE,"In house standard reference material (batch analysis)","E","",""
5968918,"19/02/2014 09:09:29 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8338904229,2014-02-19 21:00:00,1,5968918,"QC-IRM001-5968918",TRUE,"In house standard reference material (batch analysis)","E","",""
5968921,"19/02/2014 09:10:52 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7985162229,2014-02-19 21:00:00,1,5968921,"QC-IRM001-5968921",TRUE,"In house standard reference material (batch analysis)","E","",""
5970511,"19/02/2014 01:04:26 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7561837456,2014-02-20 08:00:00,1,5970511,"QC-IRM001-5970511",TRUE,"In house standard reference material (batch analysis)","E","",""
5971035,"19/02/2014 02:57:33 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8132891414,2014-02-20 08:00:00,1,5971035,"QC-IRM001-5971035",TRUE,"In house standard reference material (batch analysis)","E","",""
5971038,"19/02/2014 02:58:35 PM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7936533312,2014-02-20 08:00:00,1,5971038,"QC-IRM001-5971038",TRUE,"In house standard reference material (batch analysis)","E","",""
5972164,"20/02/2014 07:25:37 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.7290541509,2014-02-21 08:00:00,1,5972164,"QC-IRM001-5972164",TRUE,"In house standard reference material (batch analysis)","E","",""
5972165,"20/02/2014 07:28:22 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8024766072,2014-02-21 08:00:00,1,5972165,"QC-IRM001-5972165",TRUE,"In house standard reference material (batch analysis)","E","",""
5972172,"20/02/2014 07:29:28 AM","QC","SRM","","ASHS040493","Ash @ 600°C","G_P_100G",2.7191842447,2014-02-20 15:00:00,1,5972172,"QC-IRM001-5972172",TRUE,"In house standard reference material (batch analysis)","E","",""
5973202,"20/02/2014 10:41:00 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8014385766,2014-02-21 08:00:00,1,5973202,"QC-IRM001-5973202",TRUE,"In house standard reference material (batch analysis)","E","",""
5973211,"20/02/2014 10:42:16 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8003375171,2014-02-21 08:00:00,1,5973211,"QC-IRM001-5973211",TRUE,"In house standard reference material (batch analysis)","E","",""
5976059,"21/02/2014 07:26:16 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8688732323,2014-02-22 09:00:00,1,5976059,"QC-IRM001-5976059",TRUE,"In house standard reference material (batch analysis)","E","",""
5976066,"21/02/2014 07:26:53 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8005816954,2014-02-22 09:00:00,1,5976066,"QC-IRM001-5976066",TRUE,"In house standard reference material (batch analysis)","E","",""
5977142,"21/02/2014 10:24:43 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8070507065,2014-02-22 09:00:00,1,5977142,"QC-IRM001-5977142",TRUE,"In house standard reference material (batch analysis)","E","",""
5977159,"21/02/2014 10:25:25 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.8516642903,2014-02-22 09:00:00,1,5977159,"QC-IRM001-5977159",TRUE,"In house standard reference material (batch analysis)","E","",""
5982738,"24/02/2014 07:13:10 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.827335954,2014-02-24 16:00:00,1,5982738,"QC-IRM001-5982738",TRUE,"In house standard reference material (batch analysis)","E","",""
5982741,"24/02/2014 07:14:46 AM","QC","SRM","","ASHS040493","Ash @ 550°C","G_P_100G",2.803306464,2014-02-24 16:00:00,1,5982741,"QC-IRM001-5982741",TRUE,"In house standard reference material (batch analysis)","E","",""
